drift_threshold,authorship_margin,uncorroborated_weight,suspicious,ramp_width,precision,recall,f1,fpr,tp,fp,fn,tn,hn_fpr,malicious_precision
0.2,0.1,0.6,0.6,0.1,0.5,0.4706,0.4848,0.1379,8,8,9,50,0.5556,0.0
0.2,0.1,0.6,0.6,0.2,0.5333,0.4706,0.5,0.1207,8,7,9,51,0.5556,0.0
0.2,0.1,0.6,0.6,0.3,0.2857,0.1176,0.1667,0.0862,2,5,15,53,0.5556,0.0
0.2,0.1,0.6,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.6,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.6,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.8,0.3,0.1,0.375,0.5294,0.439,0.2586,9,15,8,43,0.5556,0.0
0.2,0.1,0.8,0.3,0.2,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.1,0.8,0.3,0.3,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.1,0.8,0.4,0.1,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.1,0.8,0.4,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
